"first_name","last_name","email","Remaining Goal Amount"
"Manfred","Hernandez","mhernandez@live.com",153288.0
"Rufino","Tyson","rtyson@gmail.com",151747.0
"Robin","Boyd","rboyd@yandex.com",98164.0
"Severiano","Harrell","sharrell@outlook.com",88154.0
"Ethann","Biermann","ebiermann@protonmail.com",72323.0
"Said","Johnson","sjohnson@protonmail.com",71872.0
"Lavinia","Heppenheimer","lheppenheimer@live.com",41198.0
"Harold","Nicoli","hnicoli@live.com",40291.0
"Orso","Jund","ojund@gmail.com",8362.0
"Zaira","Carver","zcarver@outlook.com",3768.0
"Arnaldo","Waters","awaters@protonmail.com",3739.0
"Gino","Brady","gbrady@yandex.com",1559.0
"Alexander","Hernandez","ahernandez@yandex.com",1503.0
"Zelda","Dennis","zdennis@protonmail.com",426.0
